MemberID,EmploymentLength,EmploymentTitle,HomeOwnership
1314167,< 1 year,Ryder,RENT
1288686,9 years,MKC Accounting,RENT
1304116,4 years,Chemat Technology Inc,RENT
1272024,< 1 year,barnes distribution,MORTGAGE
1302971,10+ years,J&J Steel Inc,MORTGAGE
1294481,3 years,Studio 94 Corp,RENT
1301833,10+ years,American Airlines,MORTGAGE
1291243,10+ years,SCI Mahanoy,OWN
1299335,10+ years,Tech Data Corp,MORTGAGE
1298401,10+ years,teltow contracting,MORTGAGE
1289131,10+ years,Ericsson,MORTGAGE
1295018,3 years,myrvpartsplace.com,RENT
1294929,4 years,AEG LIVE,RENT
1249642,5 years,henkel corporation,RENT
1293124,4 years,AXA Assistance,RENT
1292578,< 1 year,HSA-UWC,RENT
1277552,1 year,Child's Day,RENT
1291775,4 years,OEC Freight,RENT
1291322,10+ years,Sandestin Beach Hilton,MORTGAGE
1289636,10+ years,,OWN
112227,6 years,Norman G. Olson Insurance,RENT
183496,< 1 year,,MORTGAGE
232106,< 1 year,"Infotrieve, Inc.",MORTGAGE
211606,4 years,self employed,OWN
847024,10+ years,Clark County School District,MORTGAGE
1233120,6 years,The Mount Sinai School of Medicine,MORTGAGE
454145,< 1 year,Blue Ridge Design Group,MORTGAGE
544784,10+ years,Abbott Nutrition,MORTGAGE
843127,3 years,rice &werthmann,MORTGAGE
985412,6 years,Five County Assoc of Governments,MORTGAGE
570309,< 1 year,north ga dentention center,MORTGAGE
942813,6 years,,MORTGAGE
1255647,6 years,sky powersports,MORTGAGE
624878,2 years,Synovus Bank,MORTGAGE
671773,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,OWN
593245,10+ years,inspired automation inc,OWN
432187,10+ years,self,OWN
920793,1 year,Able Electronics,OWN
506847,< 1 year,Abraxas I,OWN
986688,6 years,La curacao,RENT
1190684,7 years,Outback Steakhouse,RENT
975126,3 years,URS corp,RENT
596856,1 year,walmart,RENT
633723,5 years,EdgeStream Inc,RENT
571361,8 years,MAD MATT'S Bar & Grille,RENT
942003,3 years,Dominos Pizza,RENT
416412,10+ years,Pesci Family,RENT
656002,< 1 year,Forum Health,RENT
446914,8 years,River Trails Park District,RENT
366581,2 years,DMS Marketing,RENT
290796,< 1 year,Nesle,RENT
1059380,7 years,24 hour fitness,RENT
371139,2 years,Starbucks,RENT
1275383,4 years,URS Corp,RENT
930853,4 years,Berean Group,MORTGAGE
125914,< 1 year,Tideway Systems,MORTGAGE
260821,< 1 year,mdm golf,MORTGAGE
188654,5 years,"NetVida Marketing, Inc.",MORTGAGE
243089,9 years,CK General Construction,MORTGAGE
225530,10+ years,Ramsey County,MORTGAGE
253715,2 years,Central Washington Hospital,OWN
188466,10+ years,Comerica Bank,RENT
167318,< 1 year,Lexington Alarm Systems,RENT
219037,2 years,Arborist Services,RENT
218997,3 years,Evergreen Treatment Services,RENT
281309,< 1 year,Church of God of Prophecy,RENT
120227,1 year,Starbucks,RENT
253974,2 years,Comcast,RENT
553755,1 year,Newcomb Spring,MORTGAGE
446077,1 year,Chemlink Laboratories,MORTGAGE
394401,1 year,Jesuit College Preparatory School,MORTGAGE
1195796,1 year,Diamond Offshore,MORTGAGE
950147,1 year,BRP US Inc,MORTGAGE
943695,1 year,Independant Contractor,MORTGAGE
978223,1 year,Northwwind Engineering,MORTGAGE
832879,1 year,Fakouri Electrical,MORTGAGE
803704,10+ years,Second Empire Furniture Inc.,MORTGAGE
984370,10+ years,state of missouri department of correcti,MORTGAGE
1193520,10+ years,"Stafford Meat Co., Inc.",MORTGAGE
1001198,10+ years,Local 51,MORTGAGE
1082151,10+ years,Bank of America,MORTGAGE
873188,10+ years,operating engineers local 158,MORTGAGE
