LoanID,Grade,SubGrade,Purpose,Term,ApplicationType,LoanStatus,VerificationStatus
1077430,C,C4,car, 60 months,INDIVIDUAL,Charged Off,Source Verified
1072053,E,E1,car, 36 months,INDIVIDUAL,Fully Paid,Source Verified
1069243,C,C5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
1041756,B,B2,car, 60 months,INDIVIDUAL,Fully Paid,Source Verified
1068350,A,A1,car, 36 months,INDIVIDUAL,Fully Paid,Verified
1062608,C,C3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1067441,C,C2,car, 36 months,INDIVIDUAL,Fully Paid,Verified
1066424,A,A4,car, 36 months,INDIVIDUAL,Fully Paid,Source Verified
1065254,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Verified
1064589,B,B5,car, 60 months,INDIVIDUAL,Fully Paid,Not Verified
1057766,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1062734,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
1062654,B,B3,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1020855,B,B5,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1060945,B,B4,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
1060995,B,B4,car, 36 months,INDIVIDUAL,Charged Off,Source Verified
1046507,B,B1,car, 36 months,INDIVIDUAL,Fully Paid,Verified
1059936,C,C2,car, 36 months,INDIVIDUAL,Fully Paid,Source Verified
1059497,B,B2,car, 36 months,INDIVIDUAL,Fully Paid,Verified
1058060,D,D1,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
112245,A,A2,car, 36 months,INDIVIDUAL,Fully Paid,Not Verified
207910,A,A2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
65426,B,B1,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
211723,C,C2,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
662350,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
1006769,A,A3,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
405898,A,A5,car, 36 months,INDIVIDUAL,Charged Off,Not Verified
