LoanID,MemberID,IssueDate,LastPaymentDate,NextPaymentDate,LastCreditPullDate,AddressState,LoanAmount,TotalPayment,Installment,InterestRate,DTI,AnnualIncome,TotalAcc
1077430,1314167,11-02-2021,13-04-2021,13-05-2021,13-09-2021,GA,2500,1009,59.83,0.1527,0.01,30000.0,4
1072053,1288686,01-01-2021,15-01-2021,15-02-2021,14-12-2021,CA,3000,3939,109.43,0.1864,0.0535,48000.0,4
1069243,1304116,05-01-2021,09-01-2021,09-02-2021,12-12-2021,CA,12000,3522,421.65,0.1596,0.2088,50000.0,11
1041756,1272024,25-02-2021,12-03-2021,12-04-2021,12-12-2021,TX,4500,4911,97.06,0.1065,0.054,42000.0,9
1068350,1302971,01-01-2021,15-01-2021,15-02-2021,14-12-2021,IL,3500,3835,106.53,0.0603,0.0231,83000.0,28
1062608,1294481,17-07-2021,12-08-2021,12-09-2021,16-03-2021,CA,8000,8637,275.96,0.1465,0.126,28000.0,11
1067441,1301833,19-11-2021,13-12-2021,13-01-2022,14-06-2021,TX,6000,7218,205.86,0.1427,0.2453,94800.0,30
1066424,1291243,11-06-2021,14-07-2021,14-08-2021,14-07-2021,PA,5500,6172,172.1,0.079,0.0665,59000.0,23
1065254,1299335,02-09-2021,12-10-2021,12-11-2021,15-06-2021,FL,24000,8650,762.08,0.089,0.0394,116400.0,31
1064589,1298401,09-02-2021,16-03-2021,16-04-2021,16-03-2021,MI,4125,5551,93.21,0.1269,0.1773,36000.0,21
1057766,1289131,22-07-2021,13-08-2021,13-09-2021,13-09-2021,TX,5400,6277,181.15,0.1269,0.088,75000.0,33
1062734,1295018,11-09-2021,12-10-2021,12-11-2021,13-03-2021,CA,11200,4225,374.26,0.1242,0.2288,75000.0,13
1062654,1294929,11-08-2021,13-09-2021,13-10-2021,13-10-2021,CA,5000,5728,165.38,0.1171,0.0401,35000.0,3
1020855,1249642,11-12-2021,14-12-2021,14-01-2022,14-12-2021,CA,8000,9661,268.36,0.1269,0.1533,48000.0,15
1060945,1293124,11-10-2021,14-12-2021,14-01-2022,14-12-2021,IL,6000,7218,200.5,0.1242,0.106,92000.0,18
1060995,1292578,11-12-2021,13-10-2021,13-11-2021,14-02-2021,RI,12000,9547,400.99,0.1242,0.063,60000.0,14
1046507,1277552,02-12-2021,14-12-2021,14-01-2022,16-04-2021,TX,3050,3538,98.29,0.0991,0.035,16800.0,8
1059936,1291775,09-10-2021,12-11-2021,12-12-2021,15-09-2021,NY,10000,11156,343.09,0.1427,0.1869,40000.0,7
1059497,1291322,12-12-2021,14-12-2021,14-01-2022,14-12-2021,FL,5000,5863,162.87,0.1065,0.1392,35000.0,23
1058060,1289636,02-02-2021,15-02-2021,15-03-2021,16-05-2021,MD,5000,6361,176.51,0.1629,0.0957,40000.0,13
112245,112227,07-07-2021,10-08-2021,10-09-2021,16-04-2021,WI,5000,5594,155.38,0.0743,0.0255,40000.0,7
207910,183496,08-01-2021,10-02-2021,10-03-2021,16-05-2021,FL,2225,2508,69.14,0.0743,0.0767,120000.0,20
65426,232106,09-08-2021,11-06-2021,11-07-2021,16-05-2021,MI,4000,2755,131.22,0.1114,0.1108,60000.0,33
211723,211606,08-01-2021,08-08-2021,08-09-2021,09-12-2021,MD,8000,2135,262.26,0.1109,0.0512,72000.0,8
662350,847024,11-01-2021,12-08-2021,12-09-2021,13-02-2021,NV,2500,1479,77.95,0.0766,0.0795,70800.0,39
1006769,1233120,11-11-2021,13-06-2021,13-07-2021,13-11-2021,PA,4000,2479,124.45,0.0751,0.0648,80000.0,11
405898,454145,09-06-2021,09-12-2021,09-01-2022,16-05-2021,GA,12000,2306,385.14,0.0963,0.15,36000.0,24
445846,544784,09-10-2021,12-02-2021,12-03-2021,16-05-2021,MI,7000,6446,222.41,0.0894,0.152,45000.0,24
659221,843127,11-01-2021,13-10-2021,13-11-2021,16-05-2021,MI,9000,8945,280.62,0.0766,0.0385,86400.0,10
782425,985412,11-06-2021,12-07-2021,12-08-2021,16-05-2021,UT,4800,1978,152.42,0.089,0.0785,24600.0,21
458328,570309,10-01-2021,10-07-2021,10-08-2021,10-11-2021,GA,5000,884,164.85,0.1148,0.0992,30000.0,19
744344,942813,11-05-2021,13-01-2021,13-02-2021,16-05-2021,WA,6000,3950,197.83,0.1149,0.2357,48000.0,27
1026463,1255647,11-11-2021,13-12-2021,13-01-2022,14-04-2021,FL,6300,5554,217.32,0.1465,0.0366,60000.0,10
489679,624878,10-03-2021,12-07-2021,12-08-2021,12-12-2021,FL,6000,5986,210.07,0.157,0.1486,34000.0,6
519658,671773,10-05-2021,11-08-2021,11-09-2021,12-01-2021,GA,4750,2216,148.59,0.0788,0.216,18000.0,16
470041,593245,10-01-2021,11-10-2021,11-11-2021,12-03-2021,CA,4800,3210,148.32,0.0705,0.0737,43800.0,7
393852,432187,09-05-2021,11-01-2021,11-02-2021,11-06-2021,NH,9000,1045,50.58,0.1189,0.0812,98736.0,19
725534,920793,11-04-2021,13-07-2021,13-08-2021,13-12-2021,TX,1850,1655,60.34,0.1074,0.051,48000.0,45
428387,506847,09-07-2021,09-10-2021,09-11-2021,16-05-2021,PA,4200,282,141.2,0.1284,0.1021,27852.0,28
783561,986688,11-06-2021,12-02-2021,12-03-2021,12-06-2021,CA,6000,1575,186.61,0.0749,0.2585,48000.0,16
969474,1190684,11-10-2021,13-10-2021,13-11-2021,14-03-2021,HI,7200,5845,228.63,0.089,0.1872,30000.0,25
773111,975126,11-06-2021,13-11-2021,13-12-2021,14-04-2021,WA,2400,2278,75.76,0.0849,0.0526,22800.0,3
472634,596856,09-12-2021,10-11-2021,10-12-2021,11-04-2021,FL,7500,2073,231.75,0.0705,0.0,12720.0,9
494891,633723,10-03-2021,11-03-2021,11-04-2021,16-04-2021,MA,5550,2083,182.66,0.1136,0.0159,31000.0,5
458797,571361,09-11-2021,11-07-2021,11-08-2021,11-11-2021,NV,22000,15424,725.31,0.1148,0.0056,89650.0,19
743690,942003,11-05-2021,12-06-2021,12-07-2021,15-02-2021,OK,10000,4553,332.1,0.1199,0.1464,45000.0,18
384963,416412,09-03-2021,11-03-2021,11-04-2021,11-07-2021,NJ,8000,6197,261.71,0.1095,0.2298,39996.0,43
508426,656002,10-05-2021,11-12-2021,11-01-2022,16-05-2021,OH,5000,3110,163.68,0.1099,0.174,49800.0,13
402318,446914,09-05-2021,11-10-2021,11-11-2021,12-03-2021,IL,3200,3140,106.61,0.1221,0.1688,15000.0,19
359401,366581,08-10-2021,09-09-2021,09-10-2021,16-05-2021,CA,6000,5104,200.47,0.1241,0.1753,48000.0,14
290803,290796,08-03-2021,10-08-2021,10-09-2021,10-12-2021,TX,3000,2798,98.7,0.1134,0.0772,37440.0,14
847836,1059380,11-08-2021,13-05-2021,13-06-2021,16-05-2021,AZ,11200,8037,382.74,0.1399,0.135,105000.0,29
362098,371139,08-11-2021,10-08-2021,10-09-2021,11-01-2021,FL,4000,2685,136.08,0.1367,0.14,15000.0,13
1044994,1275383,11-12-2021,14-03-2021,14-04-2021,16-05-2021,CA,3000,2772,106.62,0.1677,0.1287,59100.0,13
734343,930853,11-04-2021,13-10-2021,13-11-2021,14-03-2021,NY,6000,5796,193.61,0.1,0.1529,126000.0,22
126392,125914,07-09-2021,08-04-2021,08-05-2021,07-08-2021,WI,10000,10435,313.67,0.0807,0.0072,173000.0,41
269289,260821,08-03-2021,10-10-2021,10-11-2021,11-01-2021,CT,10000,11340,316.28,0.0863,0.0894,60000.0,27
266282,188654,08-02-2021,10-05-2021,10-06-2021,10-05-2021,TX,8000,9149,257.24,0.0976,0.1872,40000.0,35
243406,243089,08-02-2021,11-02-2021,11-03-2021,12-09-2021,NJ,6000,6945,192.93,0.0976,0.0484,200000.0,22
226154,225530,08-01-2021,11-02-2021,11-03-2021,11-01-2021,MN,5000,6146,170.72,0.1393,0.2257,72000.0,44
253727,253715,08-02-2021,10-09-2021,10-10-2021,10-09-2021,WA,4500,5096,142.33,0.0863,0.0,10000.0,6
196380,188466,08-01-2021,10-02-2021,10-03-2021,10-02-2021,CA,11000,12247,345.06,0.0807,0.1407,62000.0,23
206181,167318,08-01-2021,10-04-2021,10-05-2021,16-04-2021,MA,3500,3863,108.27,0.0712,0.0,28800.0,5
219070,219037,08-02-2021,10-09-2021,10-10-2021,10-09-2021,CO,6000,6982,194.91,0.1046,0.0506,50000.0,21
219000,218997,08-01-2021,11-01-2021,11-02-2021,11-01-2021,WA,5500,6320,175.42,0.092,0.1674,37000.0,36
281384,281309,08-03-2021,11-03-2021,11-04-2021,11-03-2021,TN,3500,4164,115.69,0.1166,0.1238,54263.0,23
120525,120227,07-08-2021,10-08-2021,10-09-2021,11-06-2021,VA,4000,4708,130.79,0.1091,0.18,18000.0,5
253987,253974,08-02-2021,10-06-2021,10-07-2021,16-05-2021,VA,3000,3498,98.26,0.1103,0.1692,41000.0,16
450292,553755,09-10-2021,12-10-2021,12-11-2021,16-02-2021,CT,4400,4920,136.66,0.074,0.0239,85000.0,19
401775,446077,09-05-2021,12-05-2021,12-06-2021,12-05-2021,GA,8500,9544,265.13,0.0768,0.0223,28500.0,10
373881,394401,09-01-2021,11-02-2021,11-03-2021,11-02-2021,TX,5000,5422,155.96,0.0768,0.0578,40308.0,19
973780,1195796,11-10-2021,14-10-2021,14-11-2021,14-10-2021,TX,7000,7737,214.93,0.0662,0.0994,149400.0,43
750759,950147,11-06-2021,14-06-2021,14-07-2021,14-06-2021,WI,2000,2190,60.84,0.0599,0.1129,54000.0,18
745149,943695,11-05-2021,14-05-2021,14-06-2021,16-05-2021,OH,2400,2667,74.1,0.0699,0.0319,38400.0,7
